name,percentage,rater,kind,model,iter
Four,25,Four,self,gpt-4-turbo-preview,22
Five,20,Five,self,gpt-4o,22
One,20,One,self,gpt-3.5-turbo,23
Two,20,Two,self,gpt-3.5-turbo-1106,23
Three,25,Three,self,gpt-4-0613,23
Four,20,Four,self,gpt-4o,23
Five,20,Five,self,gpt-4-turbo-preview,23
One,20,One,self,gpt-4-turbo-preview,24
Two,20,Two,self,gpt-4o,24
Three,20,Three,self,gpt-3.5-turbo,24
Four,20,Four,self,gpt-4-0613,24
Five,20,Five,self,gpt-3.5-turbo-1106,24
One,20,One,self,gpt-4-0613,25
Two,30,Two,self,gpt-4-turbo-preview,25
Three,20,Three,self,gpt-4o,25
Four,20,Four,self,gpt-3.5-turbo-1106,25
Five,20,Five,self,gpt-3.5-turbo,25
One,20,One,self,gpt-4-turbo-preview,0
Two,30,Two,self,gpt-4o,0
Three,25,Three,self,gpt-4-0613,0
Four,20,Four,self,gpt-3.5-turbo,0
Five,0,Five,self,gpt-3.5-turbo-1106,0
One,30,One,self,gpt-4o,1
Two,25,Two,self,gpt-4-0613,1
Three,20,Three,self,gpt-3.5-turbo,1
Four,25,Four,self,gpt-4-turbo-preview,1
Five,0,Five,self,gpt-3.5-turbo-1106,1
One,15,One,self,gpt-4o,2
Two,25,Two,self,gpt-4-turbo-preview,2
Three,20,Three,self,gpt-3.5-turbo-1106,2
Four,25,Four,self,gpt-4-0613,2
Five,20,Five,self,gpt-3.5-turbo,2
One,20,One,self,gpt-3.5-turbo,3
Two,20,Two,self,gpt-3.5-turbo-1106,3
Three,20,Three,self,gpt-4-turbo-preview,3
Four,20,Four,self,gpt-4o,3
Five,20,Five,self,gpt-4-0613,3
One,30,One,self,gpt-4o,4
Two,25,Two,self,gpt-4-0613,4
Three,25,Three,self,gpt-4-turbo-preview,4
Four,25,Four,self,gpt-3.5-turbo,4
Five,20,Five,self,gpt-3.5-turbo-1106,4
One,20,One,self,gpt-3.5-turbo,5
Two,20,Two,self,gpt-4-0613,5
Three,25,Three,self,gpt-4-turbo-preview,5
Four,20,Four,self,gpt-4o,5
Five,20,Five,self,gpt-3.5-turbo-1106,5
One,20,One,self,gpt-4-turbo-preview,6
Two,0,Two,self,gpt-3.5-turbo-1106,6
Three,20,Three,self,gpt-3.5-turbo,6
Four,30,Four,self,gpt-4o,6
Five,20,Five,self,gpt-4-0613,6
One,20,One,self,gpt-3.5-turbo,7
Two,25,Two,self,gpt-4-turbo-preview,7
Three,25,Three,self,gpt-4o,7
Four,0,Four,self,gpt-3.5-turbo-1106,7
Five,25,Five,self,gpt-4-0613,7
One,20,One,self,gpt-3.5-turbo-1106,0
Two,25,Two,self,gpt-4-0613,0
Three,25,Three,self,gpt-4-turbo-preview,0
Four,0,Four,self,gpt-3.5-turbo,0
Five,25,Five,self,gpt-4o,0
One,30,One,self,gpt-4o,1
Two,0,Two,self,gpt-3.5-turbo-1106,1
Three,20,Three,self,gpt-3.5-turbo,1
Four,30,Four,self,gpt-4-turbo-preview,1
Five,20,Five,self,gpt-4-0613,1
One,20,One,self,gpt-4-turbo-preview,2
Two,0,Two,self,gpt-3.5-turbo-1106,2
Three,30,Three,self,gpt-4o,2
Four,20,Four,self,gpt-3.5-turbo,2
Five,30,Five,self,gpt-4-0613,2
One,15,One,self,gpt-4-0613,3
Two,20,Two,self,gpt-3.5-turbo,3
Three,20,Three,self,gpt-4o,3
Four,40,Four,self,gpt-4-turbo-preview,3
Five,20,Five,self,gpt-3.5-turbo-1106,3
One,20,One,self,gpt-3.5-turbo-1106,4
Two,20,Two,self,gpt-4-turbo-preview,4
Three,20,Three,self,gpt-4o,4
Four,20,Four,self,gpt-3.5-turbo,4
Five,20,Five,self,gpt-4-0613,4
One,20,One,self,gpt-3.5-turbo,5
Two,20,Two,self,gpt-4o,5
Three,20,Three,self,gpt-4-0613,5
Four,25,Four,self,gpt-4-turbo-preview,5
Five,20,Five,self,gpt-3.5-turbo-1106,5
One,20,One,self,gpt-4-0613,6
Two,20,Two,self,gpt-4-turbo-preview,6
Three,20,Three,self,gpt-3.5-turbo-1106,6
Four,20,Four,self,gpt-3.5-turbo,6
Five,30,Five,self,gpt-4o,6
One,25,One,self,gpt-4o,7
Two,25,Two,self,gpt-4-turbo-preview,7
Three,20,Three,self,gpt-3.5-turbo,7
Four,25,Four,self,gpt-4-0613,7
Five,20,Five,self,gpt-3.5-turbo-1106,7
One,30,One,self,gpt-4-turbo-preview,8
Two,30,Two,self,gpt-4o,8
Three,0,Three,self,gpt-3.5-turbo-1106,8
Four,20,Four,self,gpt-3.5-turbo,8
Five,50,Five,self,gpt-4-0613,8
One,20,One,self,gpt-3.5-turbo,9
Two,20,Two,self,gpt-4-turbo-preview,9
Three,25,Three,self,gpt-4o,9
Four,20,Four,self,gpt-4-0613,9
Five,20,Five,self,gpt-3.5-turbo-1106,9
One,20,One,self,gpt-4-0613,10
Two,20,Two,self,gpt-3.5-turbo-1106,10
Three,20,Three,self,gpt-4-turbo-preview,10
Four,20,Four,self,gpt-3.5-turbo,10
Five,20,Five,self,gpt-4o,10
One,30,One,self,gpt-4o,11
Two,25,Two,self,gpt-3.5-turbo,11
Three,25,Three,self,gpt-4-turbo-preview,11
Four,20,Four,self,gpt-3.5-turbo-1106,11
Five,20,Five,self,gpt-4-0613,11
One,20,One,self,gpt-4-0613,12
Two,30,Two,self,gpt-4o,12
Three,25,Three,self,gpt-4-turbo-preview,12
Four,20,Four,self,gpt-3.5-turbo,12
Five,20,Five,self,gpt-3.5-turbo-1106,12
One,30,One,self,gpt-4o,13
Two,25,Two,self,gpt-4-turbo-preview,13
Three,30,Three,self,gpt-4-0613,13
Four,20,Four,self,gpt-3.5-turbo,13
Five,20,Five,self,gpt-3.5-turbo-1106,13
