names,rater,friends
"['Eight', 'Five', 'Four', 'Seven', 'One', 'Six', 'Three']",Eight,"Eight,Five,Four,Seven"
"['One', 'Four', 'Seven', 'Six', 'Eight', 'Five', 'Three']",One,"Four,One,Seven,Six"
"['Two', 'Eight', 'Five', 'Three', 'Four', 'One', 'Seven']",Two,"Eight,Five,Three,Two"
"['Three', 'Eight', 'Five', 'Two', 'Four', 'One', 'Seven']",Three,"Eight,Five,Three,Two"
"['Four', 'One', 'Seven', 'Six', 'Eight', 'Five', 'Three']",Four,"Four,One,Seven,Six"
"['Eight', 'Five', 'Three', 'Two', 'Four', 'One', 'Seven']",Five,"Eight,Five,Three,Two"
"['Four', 'One', 'Seven', 'Six', 'Eight', 'Five', 'Three']",Six,"Four,One,Seven,Six"
"['Seven', 'Four', 'One', 'Six', 'Eight', 'Five', 'Three']",Seven,"Four,One,Seven,Six"
"['Eight', 'Five', 'Three', 'Two', 'Four', 'One', 'Seven']",Eight,"Eight,Five,Three,Two"
"['One', 'Eight', 'Seven', 'Two', 'Five', 'Four', 'Six']",One,"Eight,One,Seven,Two"
"['Two', 'Eight', 'One', 'Seven', 'Five', 'Four', 'Six']",Two,"Eight,One,Seven,Two"
"['Three', 'Five', 'Four', 'Six', 'Eight', 'One', 'Seven']",Three,"Five,Four,Six,Three"
"['Four', 'Five', 'Six', 'Three', 'Eight', 'One', 'Seven']",Four,"Five,Four,Six,Three"
"['Five', 'Four', 'Six', 'Three', 'Eight', 'One', 'Seven']",Five,"Five,Four,Six,Three"
"['Six', 'Five', 'Four', 'Three', 'Eight', 'One', 'Seven']",Six,"Five,Four,Six,Three"
"['Seven', 'Eight', 'One', 'Two', 'Five', 'Four', 'Six']",Seven,"Eight,One,Seven,Two"
"['Eight', 'One', 'Seven', 'Two', 'Five', 'Four', 'Six']",Eight,"Eight,One,Seven,Two"
"['One', 'Five', 'Four', 'Seven', 'Two', 'Eight', 'Six']",One,"Eight,One,Six,Three"
"['Two', 'Five', 'Four', 'Seven', 'Eight', 'One', 'Six']",Two,"Five,Four,Seven,Two"
"['Three', 'Five', 'Four', 'Seven', 'Two', 'Eight', 'One']",Three,"Eight,One,Six,Three"
"['Four', 'Five', 'Seven', 'Two', 'Eight', 'One', 'Six']",Four,"Five,Four,Seven,Two"
"['Five', 'Four', 'Seven', 'Two', 'Eight', 'One', 'Six']",Five,"Five,Four,Seven,Two"
"['Six', 'Eight', 'One', 'Three', 'Five', 'Four', 'Seven']",Six,"Eight,One,Six,Three"
"['Seven', 'Five', 'Four', 'Two', 'Eight', 'One', 'Six']",Seven,"Five,Four,Seven,Two"
"['Eight', 'One', 'Six', 'Three', 'Five', 'Four', 'Seven']",Eight,"Eight,One,Six,Three"
"['One', 'Two', 'Eight', 'Five', 'Four', 'Seven', 'Six']",One,"Eight,Five,One,Two"
"['Two', 'Eight', 'Five', 'One', 'Four', 'Seven', 'Six']",Two,"Eight,Five,One,Two"
"['Three', 'Four', 'Seven', 'Six', 'Eight', 'Five', 'One']",Three,"Four,Seven,Six,Three"
"['Four', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'One']",Four,"Four,Seven,Six,Three"
"['Five', 'Eight', 'One', 'Two', 'Four', 'Seven', 'Six']",Five,"Eight,Five,One,Two"
"['Six', 'Four', 'Seven', 'Three', 'Eight', 'Five', 'One']",Six,"Four,Seven,Six,Three"
"['Seven', 'Four', 'Six', 'Three', 'Eight', 'Five', 'One']",Seven,"Four,Seven,Six,Three"
"['Eight', 'Five', 'One', 'Two', 'Four', 'Seven', 'Six']",Eight,"Eight,Five,One,Two"
"['One', 'Eight', 'Five', 'Three', 'Four', 'Seven', 'Six']",One,"Eight,Five,One,Three"
"['Two', 'Four', 'Seven', 'Six', 'Eight', 'Five', 'One']",Two,"Four,Seven,Six,Two"
"['Three', 'Eight', 'Five', 'One', 'Four', 'Seven', 'Six']",Three,"Eight,Five,One,Three"
"['Four', 'Seven', 'Six', 'Two', 'Eight', 'Five', 'One']",Four,"Four,Seven,Six,Two"
"['Five', 'Eight', 'One', 'Three', 'Four', 'Seven', 'Six']",Five,"Eight,Five,One,Three"
"['Six', 'Four', 'Seven', 'Two', 'Eight', 'Five', 'One']",Six,"Four,Seven,Six,Two"
"['Seven', 'Four', 'Six', 'Two', 'Eight', 'Five', 'One']",Seven,"Four,Seven,Six,Two"
"['Eight', 'Five', 'One', 'Three', 'Four', 'Seven', 'Six']",Eight,"Eight,Five,One,Three"
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One,"One,Seven,Six,Three"
"['Two', 'Eight', 'Five', 'Four', 'One', 'Seven', 'Six']",Two,"Eight,Five,Four,Two"
"['One', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'Four']",Three,"One,Seven,Six,Three"
"['Four', 'Eight', 'Five', 'Two', 'One', 'Seven', 'Six']",Four,"Eight,Five,Four,Two"
"['Five', 'Eight', 'Four', 'Two', 'One', 'Seven', 'Six']",Five,"Eight,Five,Four,Two"
"['Six', 'One', 'Seven', 'Three', 'Eight', 'Five', 'Four']",Six,"One,Seven,Six,Three"
"['One', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'Four']",Seven,"One,Seven,Six,Three"
"['Eight', 'One', 'Seven', 'Six', 'Three', 'Five', 'Four']",Eight,"Eight,Five,Four,Two"
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One,"One,Seven,Six,Two"
"['Two', 'One', 'Seven', 'Six', 'Eight', 'Five', 'Four']",Two,"One,Seven,Six,Two"
"['Three', 'Eight', 'Five', 'Four', 'One', 'Seven', 'Six']",Three,"Eight,Five,Four,Three"
"['Four', 'Eight', 'Five', 'Three', 'One', 'Seven', 'Six']",Four,"Eight,Five,Four,Three"
"['Five', 'Eight', 'Four', 'Three', 'One', 'Seven', 'Six']",Five,"Eight,Five,Four,Three"
"['Six', 'One', 'Seven', 'Two', 'Eight', 'Five', 'Four']",Six,"One,Seven,Six,Two"
"['Seven', 'One', 'Six', 'Two', 'Eight', 'Five', 'Four']",Seven,"One,Seven,Six,Two"
"['Eight', 'Five', 'Four', 'Three', 'One', 'Seven', 'Six']",Eight,"Eight,Five,Four,Three"
"['One', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'Four']",One,"One,Seven,Six,Three"
"['Two', 'Eight', 'Five', 'Four', 'One', 'Seven', 'Six']",Two,"Eight,Five,Four,Two"
"['Three', 'One', 'Seven', 'Six', 'Eight', 'Five', 'Four']",Three,"One,Seven,Six,Three"
"['Four', 'Eight', 'Five', 'Two', 'One', 'Seven', 'Six']",Four,"Eight,Five,Four,Two"
"['Five', 'Eight', 'Four', 'Two', 'One', 'Seven', 'Six']",Five,"Eight,Five,Four,Two"
"['Six', 'One', 'Seven', 'Three', 'Eight', 'Five', 'Four']",Six,"One,Seven,Six,Three"
"['Seven', 'One', 'Six', 'Three', 'Eight', 'Five', 'Four']",Seven,"One,Seven,Six,Three"
"['Eight', 'Five', 'Four', 'Two', 'One', 'Seven', 'Six']",Eight,"Eight,Five,Four,Two"
"['One', 'Five', 'Six', 'Three', 'Eight', 'Four', 'Seven']",One,"Five,One,Six,Three"
"['Two', 'Eight', 'Four', 'Seven', 'Five', 'One', 'Six']",Two,"Eight,Four,Seven,Two"
"['Three', 'Five', 'One', 'Six', 'Eight', 'Four', 'Seven']",Three,"Five,One,Six,Three"
"['Four', 'Eight', 'Seven', 'Two', 'Five', 'One', 'Six']",Four,"Eight,Four,Seven,Two"
"['Five', 'One', 'Six', 'Three', 'Eight', 'Four', 'Seven']",Five,"Five,One,Six,Three"
"['Six', 'Five', 'One', 'Three', 'Eight', 'Four', 'Seven']",Six,"Five,One,Six,Three"
"['Seven', 'Eight', 'Four', 'Two', 'Five', 'One', 'Six']",Seven,"Eight,Four,Seven,Two"
"['Eight', 'Four', 'Seven', 'Two', 'Five', 'One', 'Six']",Eight,"Eight,Four,Seven,Two"
"['One', 'Eight', 'Four', 'Six', 'Five', 'Seven', 'Three']",One,"Eight,Four,One,Six"
"['Two', 'Five', 'Seven', 'Three', 'Eight', 'Four', 'One']",Two,"Five,Seven,Three,Two"
"['Three', 'Five', 'Seven', 'Two', 'Eight', 'Four', 'One']",Three,"Five,Seven,Three,Two"
"['Four', 'Eight', 'One', 'Six', 'Five', 'Seven', 'Three']",Four,"Eight,Four,One,Six"
"['Five', 'Seven', 'Three', 'Two', 'Eight', 'Four', 'One']",Five,"Five,Seven,Three,Two"
"['Six', 'Eight', 'Four', 'One', 'Five', 'Seven', 'Three']",Six,"Eight,Four,One,Six"
"['Seven', 'Five', 'Three', 'Two', 'Eight', 'Four', 'One']",Seven,"Five,Seven,Three,Two"
"['Eight', 'Four', 'One', 'Six', 'Five', 'Seven', 'Three']",Eight,"Eight,Four,One,Six"
"['One', 'Five', 'Four', 'Three', 'Two', 'Eight', 'Seven']",One,"Eight,One,Seven,Six"
"['Two', 'Five', 'Four', 'Three', 'Eight', 'One', 'Seven']",Two,"Five,Four,Three,Two"
"['Three', 'Five', 'Four', 'Two', 'Eight', 'One', 'Seven']",Three,"Five,Four,Three,Two"
"['Four', 'Five', 'Three', 'Two', 'Eight', 'One', 'Seven']",Four,"Five,Four,Three,Two"
"['Five', 'Four', 'Three', 'Two', 'Eight', 'One', 'Seven']",Five,"Five,Four,Three,Two"
"['Six', 'Five', 'Four', 'Three', 'Two', 'Eight', 'One']",Six,"Eight,One,Seven,Six"
"['Seven', 'Eight', 'One', 'Six', 'Five', 'Four', 'Three']",Seven,"Eight,One,Seven,Six"
"['Eight', 'One', 'Seven', 'Six', 'Five', 'Four', 'Three']",Eight,"Eight,One,Seven,Six"
"['One', 'Five', 'Seven', 'Six', 'Eight', 'Four', 'Three']",One,"Five,One,Seven,Six"
"['Two', 'Eight', 'Four', 'Three', 'Five', 'One', 'Seven']",Two,"Eight,Four,Three,Two"
"['Three', 'Five', 'One', 'Seven', 'Six', 'Eight', 'Four']",Three,"Eight,Four,Three,Two"
"['Four', 'Five', 'One', 'Seven', 'Six', 'Eight', 'Three']",Four,"Eight,Four,Three,Two"
"['Five', 'One', 'Seven', 'Six', 'Eight', 'Four', 'Three']",Five,"Five,One,Seven,Six"
"['Six', 'Five', 'One', 'Seven', 'Eight', 'Four', 'Three']",Six,"Five,One,Seven,Six"
"['Seven', 'Five', 'One', 'Six', 'Eight', 'Four', 'Three']",Seven,"Five,One,Seven,Six"
"['Eight', 'Five', 'One', 'Seven', 'Six', 'Four', 'Three']",Eight,"Eight,Four,Three,Two"
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One,"Four,One,Seven,Two"
"['Two', 'Four', 'One', 'Seven', 'Eight', 'Five', 'Six']",Two,"Four,One,Seven,Two"
"['Three', 'Eight', 'Five', 'Six', 'Four', 'One', 'Seven']",Three,"Eight,Five,Six,Three"
"['Four', 'One', 'Seven', 'Two', 'Eight', 'Five', 'Six']",Four,"Four,One,Seven,Two"
"['Five', 'Eight', 'Six', 'Three', 'Four', 'One', 'Seven']",Five,"Eight,Five,Six,Three"
"['Six', 'Eight', 'Five', 'Three', 'Four', 'One', 'Seven']",Six,"Eight,Five,Six,Three"
"['Seven', 'Four', 'One', 'Two', 'Eight', 'Five', 'Six']",Seven,"Four,One,Seven,Two"
"['Eight', 'Five', 'Six', 'Three', 'Four', 'One', 'Seven']",Eight,"Eight,Five,Six,Three"
"['One', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'Four']",One,"One,Seven,Six,Three"
"['Two', 'Eight', 'Five', 'Four', 'One', 'Seven', 'Six']",Two,"Eight,Five,Four,Two"
"['One', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'Four']",Three,"One,Seven,Six,Three"
"['Four', 'Eight', 'Five', 'Two', 'One', 'Seven', 'Six']",Four,"Eight,Five,Four,Two"
"['Five', 'Eight', 'Four', 'Two', 'One', 'Seven', 'Six']",Five,"Eight,Five,Four,Two"
"['One', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'Four']",Six,"One,Seven,Six,Three"
"['One', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'Four']",Seven,"One,Seven,Six,Three"
"['Eight', 'Five', 'Four', 'Two', 'One', 'Seven', 'Six']",Eight,"Eight,Five,Four,Two"
"['One', 'Eight', 'Five', 'Two', 'Four', 'Seven', 'Six']",One,"Eight,Five,One,Two"
"['Two', 'Eight', 'Five', 'One', 'Four', 'Seven', 'Six']",Two,"Eight,Five,One,Two"
"['Three', 'Four', 'Seven', 'Six', 'Eight', 'Five', 'One']",Three,"Four,Seven,Six,Three"
"['Four', 'Seven', 'Six', 'Three', 'Eight', 'Five', 'One']",Four,"Four,Seven,Six,Three"
"['Five', 'Eight', 'One', 'Two', 'Four', 'Seven', 'Six']",Five,"Eight,Five,One,Two"
"['Six', 'Four', 'Seven', 'Three', 'Eight', 'Five', 'One']",Six,"Four,Seven,Six,Three"
"['Seven', 'Four', 'Six', 'Three', 'Eight', 'Five', 'One']",Seven,"Four,Seven,Six,Three"
"['Eight', 'Five', 'One', 'Two', 'Four', 'Seven', 'Six']",Eight,"Eight,Five,One,Two"
"['One', 'Eight', 'Four', 'Two', 'Five', 'Seven', 'Six']",One,"Eight,Four,One,Two"
"['Two', 'Eight', 'Four', 'One', 'Five', 'Seven', 'Six']",Two,"Eight,Four,One,Two"
"['Three', 'Five', 'Seven', 'Six', 'Eight', 'Four', 'One']",Three,"Five,Seven,Six,Three"
"['Four', 'Eight', 'One', 'Two', 'Five', 'Seven', 'Six']",Four,"Eight,Four,One,Two"
"['Five', 'Seven', 'Six', 'Three', 'Eight', 'Four', 'One']",Five,"Five,Seven,Six,Three"
"['Six', 'Five', 'Seven', 'Three', 'Eight', 'Four', 'One']",Six,"Five,Seven,Six,Three"
"['Seven', 'Five', 'Six', 'Three', 'Eight', 'Four', 'One']",Seven,"Five,Seven,Six,Three"
"['Eight', 'Four', 'One', 'Two', 'Five', 'Seven', 'Six']",Eight,"Eight,Four,One,Two"
"['One', 'Five', 'Four', 'Seven', 'Eight', 'Six', 'Two']",One,"Five,Four,One,Seven"
"['Two', 'Eight', 'Six', 'Three', 'Five', 'Four', 'One']",Two,"Eight,Six,Three,Two"
"['Three', 'Eight', 'Six', 'Two', 'Five', 'Four', 'One']",Three,"Eight,Six,Three,Two"
"['Four', 'Five', 'One', 'Seven', 'Eight', 'Six', 'Two']",Four,"Five,Four,One,Seven"
"['Five', 'Four', 'One', 'Seven', 'Eight', 'Six', 'Three']",Five,"Five,Four,One,Seven"
"['Six', 'Eight', 'Three', 'Two', 'Five', 'Four', 'One']",Six,"Eight,Six,Three,Two"
"['Seven', 'Five', 'Four', 'One', 'Eight', 'Six', 'Three']",Seven,"Five,Four,One,Seven"
"['Eight', 'Six', 'Three', 'Two', 'Five', 'Four', 'One']",Eight,"Eight,Six,Three,Two"
"['One', 'Eight', 'Six', 'Three', 'Five', 'Four', 'Seven']",One,"Eight,One,Six,Three"
"['Two', 'Five', 'Four', 'Seven', 'Eight', 'One', 'Six']",Two,"Five,Four,Seven,Two"
"['Three', 'Eight', 'One', 'Six', 'Five', 'Four', 'Seven']",Three,"Eight,One,Six,Three"
"['Four', 'Five', 'Seven', 'Two', 'Eight', 'One', 'Six']",Four,"Five,Four,Seven,Two"
"['Five', 'Four', 'Seven', 'Two', 'Eight', 'One', 'Six']",Five,"Five,Four,Seven,Two"
"['Six', 'Eight', 'One', 'Three', 'Five', 'Four', 'Two']",Six,"Eight,One,Six,Three"
"['Seven', 'Five', 'Four', 'Two', 'Eight', 'One', 'Six']",Seven,"Five,Four,Seven,Two"
"['Eight', 'One', 'Six', 'Three', 'Five', 'Four', 'Seven']",Eight,"Eight,One,Six,Three"
"['One', 'Five', 'Seven', 'Six', 'Eight', 'Four', 'Three']",One,"Five,One,Seven,Six"
"['Two', 'Eight', 'Four', 'Three', 'Five', 'One', 'Seven']",Two,"Eight,Four,Three,Two"
"['Three', 'Eight', 'Four', 'Two', 'Five', 'One', 'Seven']",Three,"Eight,Four,Three,Two"
"['Four', 'Eight', 'Three', 'Two', 'Five', 'One', 'Seven']",Four,"Eight,Four,Three,Two"
"['Five', 'One', 'Seven', 'Six', 'Eight', 'Four', 'Three']",Five,"Five,One,Seven,Six"
"['Six', 'Five', 'One', 'Seven', 'Eight', 'Four', 'Three']",Six,"Five,One,Seven,Six"
"['Seven', 'Five', 'One', 'Six', 'Eight', 'Four', 'Three']",Seven,"Five,One,Seven,Six"
"['Eight', 'Four', 'Three', 'Two', 'Five', 'One', 'Seven']",Eight,"Eight,Four,Three,Two"
"['One', 'Four', 'Seven', 'Three', 'Eight', 'Five', 'Six']",One,"Four,One,Seven,Three"
"['Two', 'Four', 'One', 'Seven', 'Three', 'Eight', 'Five']",Two,"Eight,Five,Six,Two"
"['Three', 'Four', 'One', 'Seven', 'Eight', 'Five', 'Six']",Three,"Four,One,Seven,Three"
"['Four', 'One', 'Seven', 'Three', 'Eight', 'Five', 'Six']",Four,"Four,One,Seven,Three"
"['Five', 'Eight', 'Six', 'Two', 'Four', 'One', 'Seven']",Five,"Eight,Five,Six,Two"
"['Six', 'Eight', 'Five', 'Two', 'Four', 'One', 'Seven']",Six,"Eight,Five,Six,Two"
"['Seven', 'Four', 'One', 'Three', 'Eight', 'Five', 'Six']",Seven,"Four,One,Seven,Three"
"['Eight', 'Five', 'Six', 'Two', 'Four', 'One', 'Seven']",Eight,"Eight,Five,Six,Two"
"['One', 'Eight', 'Four', 'Six', 'Five', 'Seven', 'Three']",One,"Eight,Four,One,Six"
"['Two', 'Five', 'Seven', 'Three', 'Eight', 'Four', 'One']",Two,"Five,Seven,Three,Two"
"['Three', 'Five', 'Seven', 'Two', 'Eight', 'Four', 'One']",Three,"Five,Seven,Three,Two"
"['Four', 'Eight', 'One', 'Six', 'Five', 'Seven', 'Three']",Four,"Eight,Four,One,Six"
"['Five', 'Seven', 'Three', 'Two', 'Eight', 'Four', 'One']",Five,"Five,Seven,Three,Two"
"['Six', 'Eight', 'Four', 'One', 'Five', 'Seven', 'Three']",Six,"Eight,Four,One,Six"
"['Seven', 'Five', 'Three', 'Two', 'Eight', 'Four', 'One']",Seven,"Five,Seven,Three,Two"
"['Eight', 'Four', 'One', 'Six', 'Five', 'Seven', 'Three']",Eight,"Eight,Four,One,Six"
"['One', 'Eight', 'Four', 'Two', 'Five', 'Seven', 'Six']",One,"Eight,Four,One,Two"
"['Two', 'Eight', 'Four', 'One', 'Five', 'Seven', 'Six']",Two,"Eight,Four,One,Two"
"['Three', 'Five', 'Seven', 'Six', 'Eight', 'Four', 'One']",Three,"Five,Seven,Six,Three"
"['Four', 'Eight', 'One', 'Two', 'Five', 'Seven', 'Six']",Four,"Eight,Four,One,Two"
"['Five', 'Seven', 'Six', 'Three', 'Eight', 'Four', 'One']",Five,"Five,Seven,Six,Three"
"['Six', 'Five', 'Seven', 'Three', 'Eight', 'Four', 'One']",Six,"Five,Seven,Six,Three"
"['Seven', 'Five', 'Six', 'Three', 'Eight', 'Four', 'One']",Seven,"Five,Seven,Six,Three"
"['Eight', 'Four', 'One', 'Two', 'Five', 'Seven', 'Six']",Eight,"Eight,Four,One,Two"
"['One', 'Five', 'Six', 'Three', 'Eight', 'Four', 'Seven']",One,"Five,One,Six,Three"
"['Two', 'Eight', 'Four', 'Seven', 'Five', 'One', 'Six']",Two,"Eight,Four,Seven,Two"
"['Three', 'Five', 'One', 'Six', 'Eight', 'Four', 'Seven']",Three,"Five,One,Six,Three"
"['Four', 'Eight', 'Seven', 'Two', 'Five', 'One', 'Six']",Four,"Eight,Four,Seven,Two"
"['Five', 'One', 'Six', 'Three', 'Eight', 'Four', 'Seven']",Five,"Five,One,Six,Three"
"['Six', 'Eight', 'Four', 'Seven', 'Two', 'Five', 'One']",Six,"Five,One,Six,Three"
"['Seven', 'Eight', 'Four', 'Two', 'Five', 'One', 'Six']",Seven,"Eight,Four,Seven,Two"
"['Eight', 'Four', 'Seven', 'Two', 'Five', 'One', 'Six']",Eight,"Eight,Four,Seven,Two"
"['One', 'Five', 'Three', 'Two', 'Eight', 'Four', 'Seven']",One,"Five,One,Three,Two"
"['Two', 'Five', 'One', 'Three', 'Eight', 'Four', 'Seven']",Two,"Five,One,Three,Two"
"['Three', 'Five', 'One', 'Two', 'Eight', 'Four', 'Seven']",Three,"Five,One,Three,Two"
"['Four', 'Eight', 'Seven', 'Six', 'Five', 'One', 'Three']",Four,"Eight,Four,Seven,Six"
"['Five', 'One', 'Three', 'Two', 'Eight', 'Four', 'Seven']",Five,"Five,One,Three,Two"
"['Six', 'Eight', 'Four', 'Seven', 'Five', 'One', 'Three']",Six,"Eight,Four,Seven,Six"
"['Seven', 'Eight', 'Four', 'Six', 'Five', 'One', 'Three']",Seven,"Eight,Four,Seven,Six"
"['Eight', 'Four', 'Seven', 'Six', 'Five', 'One', 'Three']",Eight,"Eight,Four,Seven,Six"
"['One', 'Five', 'Four', 'Seven', 'Eight', 'Six', 'Three']",One,"Five,Four,One,Seven"
"['Two', 'Eight', 'Six', 'Three', 'Five', 'Four', 'One']",Two,"Eight,Six,Three,Two"
"['Three', 'Eight', 'Six', 'Two', 'Five', 'Four', 'One']",Three,"Eight,Six,Three,Two"
"['Four', 'Five', 'One', 'Seven', 'Eight', 'Six', 'Three']",Four,"Five,Four,One,Seven"
"['Five', 'Four', 'One', 'Seven', 'Eight', 'Six', 'Three']",Five,"Five,Four,One,Seven"
"['Six', 'Eight', 'Three', 'Two', 'Five', 'Four', 'One']",Six,"Eight,Six,Three,Two"
"['Seven', 'Five', 'Four', 'One', 'Eight', 'Six', 'Three']",Seven,"Five,Four,One,Seven"
"['Eight', 'Six', 'Three', 'Two', 'Five', 'Four', 'One']",Eight,"Eight,Six,Three,Two"
"['One', 'Eight', 'Six', 'Three', 'Five', 'Four', 'Seven']",One,"Eight,One,Six,Three"
"['Two', 'Five', 'Four', 'Seven', 'Eight', 'One', 'Six']",Two,"Five,Four,Seven,Two"
"['Three', 'Eight', 'One', 'Six', 'Five', 'Four', 'Seven']",Three,"Eight,One,Six,Three"
"['Four', 'Five', 'Seven', 'Two', 'Eight', 'One', 'Six']",Four,"Five,Four,Seven,Two"
"['Five', 'Four', 'Seven', 'Two', 'Eight', 'One', 'Six']",Five,"Five,Four,Seven,Two"
"['Six', 'Eight', 'One', 'Three', 'Five', 'Four', 'Seven']",Six,"Eight,One,Six,Three"
"['Seven', 'Five', 'Four', 'Two', 'Eight', 'One', 'Six']",Seven,"Five,Four,Seven,Two"
"['Eight', 'One', 'Six', 'Three', 'Five', 'Four', 'Seven']",Eight,"Eight,One,Six,Three"
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One,"Four,One,Three,Two"
"['Two', 'One', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two,"Four,One,Three,Two"
"['Three', 'One', 'Two', 'Four', 'Five', 'Six', 'Seven']",Three,"Four,One,Three,Two"
"['Four', 'One', 'Three', 'Two', 'Five', 'Six', 'Seven']",Four,"Four,One,Three,Two"
"['Five', 'Four', 'One', 'Three', 'Two', 'Eight', 'Seven']",Five,"Eight,Five,Seven,Six"
"['Six', 'Eight', 'Five', 'Seven', 'Four', 'One', 'Three']",Six,"Eight,Five,Seven,Six"
"['Seven', 'Eight', 'Five', 'Six', 'Four', 'One', 'Three']",Seven,"Eight,Five,Seven,Six"
"['Eight', 'Five', 'Seven', 'Six', 'Four', 'One', 'Three']",Eight,"Eight,Five,Seven,Six"
